voucher,vendor_id,vendor_name,invoice_num,terms_code,created_date,created_amount,event_type,event_date,event_amount,running_open_after_event,source_program,source_item_id
13632,9342902,John Hancock USA - 401K,401K 2023-10-04,,2023-10-02,2225.25,V,2023-10-02,2225.25,2225.25,,
13639,1810801,"Star Rubber & Plastics Co., Ltd",APR-20230056,N90,2023-10-02,6552.00,V,2023-10-02,6552.00,6552.00,,
13642,9043801,Anthem Blue Cross Blue Shield,0202310503918,,2023-10-02,784.47,V,2023-10-02,784.47,784.47,,
13687,9881301,UPS,1708696429,,2023-10-02,188.47,V,2023-10-02,188.47,188.47,,
13715,1810801,"Star Rubber & Plastics Co., Ltd",APR-20230054,N90,2023-10-02,28.78,V,2023-10-02,28.78,28.78,,
13640,1488202,Kennwu Manufacturing Sdn. Bhd.,2009920,N45,2023-10-03,80244.45,V,2023-10-03,80244.45,80244.45,,
13640,1488202,Kennwu Manufacturing Sdn. Bhd.,2009920,N45,2023-10-03,80244.45,P,2023-10-13,-80244.45,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[3844ef5c-7574-4f63-9f5e-b0fbe6590930] aptrxp.DT=[2023-10-13 11:19:40.940]
13645,9276701,FedEx,8-273-65993,,2023-10-03,20.00,V,2023-10-03,20.00,20.00,,
13698,1049001,"APR Asia Co., Ltd.",632225,N5,2023-10-03,4646.32,V,2023-10-03,4646.32,4646.32,,
13646,1810801,"Star Rubber & Plastics Co., Ltd",APR-20230050,N90,2023-10-04,5372.15,V,2023-10-04,5372.15,5372.15,,
13646,1810801,"Star Rubber & Plastics Co., Ltd",APR-20230050,N90,2023-10-04,5372.15,P,2023-12-01,-5372.15,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[cec5d745-f84e-4985-b4cc-b4dbdf730813] aptrxp.DT=[2023-12-01 12:37:21.283]
13659,9276701,FedEx,2-202-97427,,2023-10-04,776.64,V,2023-10-04,776.64,776.64,,
13685,9276703,FedEx Freight,7434997415,,2023-10-04,283.76,V,2023-10-04,283.76,283.76,,
13685,9276703,FedEx Freight,7434997415,,2023-10-04,283.76,P,2023-11-09,-283.76,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[827af4d3-cd08-4421-9094-15ecb4aa381e] aptrxp.DT=[2023-11-09 08:57:45.817]
13647,1005602,Accurate Products,801752,N30,2023-10-05,778.80,V,2023-10-05,778.80,778.80,,
13648,1049001,"APR Asia Co., Ltd.",08142023,N45,2023-10-05,72135.24,V,2023-10-05,72135.24,72135.24,,
13650,1810801,"Star Rubber & Plastics Co., Ltd",APR-20230044,N90,2023-10-05,10205.50,V,2023-10-05,10205.50,10205.50,,
13651,1850001,"Anhui TongFeng Electronics Co., Ltd.",TF-230725/XC,N80,2023-10-05,74.83,V,2023-10-05,74.83,74.83,,
13651,1850001,"Anhui TongFeng Electronics Co., Ltd.",TF-230725/XC,N80,2023-10-05,74.83,P,2023-11-13,-74.83,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[ca0cda14-0be8-474a-b018-2074b37aafbf] aptrxp.DT=[2023-11-13 11:47:06.087]
13654,9353001,HealthEquity,y336f3v,,2023-10-05,23.70,V,2023-10-05,23.70,23.70,,
13661,9549801,"MSI Viking Gage, LLC",3103376,,2023-10-05,74.80,V,2023-10-05,74.80,74.80,,
13652,1897801,Vatsalya Metal Industries,EXP-141,N60,2023-10-06,62136.66,V,2023-10-06,62136.66,62136.66,,
13662,1966001,"XTO, Inc.",536022,N30,2023-10-06,390.00,V,2023-10-06,390.00,390.00,,
13663,1760601,RT Dygert - a Divsion of Hercules OEM,INV000328594,N30,2023-10-06,945.00,V,2023-10-06,945.00,945.00,,
13664,1240501,"Enterprise Rubber, Inc.",227207,N30,2023-10-06,334.40,V,2023-10-06,334.40,334.40,,
