cust,cust_name,inv_num,inv_date,due_date,currency,inv_amount,paid_total,balance
1820701,"",202304411,2023-12-18,2024-02-01,USD,24150.00,0.00,24150.00
1820701,"",202303772,2023-11-06,2023-12-21,USD,24150.00,0.00,24150.00
1275203,"",202303467,2023-10-13,2024-01-11,USD,23929.50,0.00,23929.50
1456501,"",202304112,2023-12-04,2024-03-03,USD,23822.40,0.00,23822.40
1456501,"",202303858,2023-11-13,2024-02-11,USD,23822.40,0.00,23822.40
1577102,"",202303820,2023-11-08,2024-02-06,USD,23688.00,0.00,23688.00
1319905,"",202304462,2023-12-19,2024-01-03,USD,23662.80,0.00,23662.80
1456501,"",202304322,2023-12-13,2024-03-12,USD,23562.00,0.00,23562.00
1520801,"",202304405,2023-12-18,2024-03-02,USD,23271.36,0.00,23271.36
1001401,"",202304467,2023-12-20,2024-01-19,USD,23157.12,0.00,23157.12
1456501,"",202304188,2023-12-07,2024-03-06,USD,23083.62,0.00,23083.62
1034704,"",202304390,2023-12-18,2024-03-02,USD,23049.60,0.00,23049.60
1520801,"",202304172,2023-12-06,2024-02-19,USD,22789.20,0.00,22789.20
1275203,"",202303821,2023-11-08,2024-02-06,USD,22207.50,0.00,22207.50
1577102,"",202303738,2023-11-03,2024-02-01,USD,22207.50,0.00,22207.50
1275203,"",202302800,2023-08-21,2023-11-19,USD,21408.00,0.00,21408.00
1577102,"",202303421,2023-10-09,2024-01-07,USD,21336.00,0.00,21336.00
1740001,"",202304471,2023-12-20,2024-02-18,USD,21312.90,0.00,21312.90
1577125,"",202303869,2023-11-15,2024-02-13,USD,20941.20,0.00,20941.20
1577106,"",202303681,2023-10-31,2024-01-29,USD,20819.40,0.00,20819.40
1822501,"",202304497,2023-12-21,2024-02-19,USD,20601.00,0.00,20601.00
1319905,"",202304345,2023-12-14,2023-12-29,USD,20570.55,0.00,20570.55
1577106,"",202303682,2023-10-31,2024-01-29,USD,20492.64,0.00,20492.64
1577102,"",202304286,2023-12-12,2024-03-11,USD,20351.10,0.00,20351.10
1319905,"",202304198,2023-12-07,2023-12-22,USD,20294.40,0.00,20294.40
1577102,"",202303910,2023-11-20,2024-02-18,USD,20213.13,0.00,20213.13
1577102,"",202304259,2023-12-11,2024-03-10,USD,19997.25,0.00,19997.25
1577102,"",202303986,2023-11-27,2024-02-25,USD,19997.25,0.00,19997.25
1456501,"",202303504,2023-10-16,2024-01-14,USD,19344.15,0.00,19344.15
1456501,"",202303651,2023-10-30,2024-01-28,USD,19252.80,0.00,19252.80
1456501,"",202303502,2023-10-16,2024-01-14,USD,19252.80,0.00,19252.80
1456501,"",202303292,2023-10-02,2023-12-31,USD,19252.80,0.00,19252.80
1456501,"",202303990,2023-11-27,2024-02-25,USD,19252.80,0.00,19252.80
1577102,"",202303985,2023-11-27,2024-02-25,USD,19041.12,0.00,19041.12
1577106,"",202303426,2023-10-10,2024-01-08,USD,18786.60,0.00,18786.60
1319905,"",202304361,2023-12-14,2023-12-29,USD,18635.40,0.00,18635.40
1577102,"",202304469,2023-12-20,2024-03-19,USD,18295.20,0.00,18295.20
1577118,"",202304445,2023-12-19,2024-03-18,USD,18018.00,0.00,18018.00
1738501,"",202303566,2023-10-23,2024-01-21,USD,18000.57,0.00,18000.57
1822501,"",202304448,2023-12-19,2024-02-17,USD,17535.00,0.00,17535.00
1520801,"",202304407,2023-12-18,2024-03-02,USD,17288.25,0.00,17288.25
1567903,"",202304079,2023-12-01,2023-12-31,USD,17236.80,0.00,17236.80
1319904,"",202304224,2023-12-08,2024-01-07,USD,16905.42,0.00,16905.42
1275202,"",202304498,2023-12-21,2024-03-20,USD,16800.00,0.00,16800.00
1577112,"",202303731,2023-11-03,2024-02-01,USD,16676.10,0.00,16676.10
1456501,"",202303614,2023-10-25,2024-01-23,USD,16632.00,0.00,16632.00
1577102,"",202304118,2023-12-04,2024-03-03,USD,16280.88,0.00,16280.88
1577102,"",202303296,2023-10-02,2023-12-31,USD,16280.88,0.00,16280.88
1316101,"",202304364,2023-12-15,2024-01-14,USD,15831.90,0.00,15831.90
1577106,"",202303928,2023-11-21,2024-02-19,USD,15792.00,0.00,15792.00
1714901,"",202304123,2023-12-04,2024-02-02,USD,15750.00,0.00,15750.00
1127701,"",202303894,2023-11-17,2023-12-17,USD,15750.00,0.00,15750.00
1714901,"",202303840,2023-11-10,2024-01-09,USD,15750.00,0.00,15750.00
1456501,"",202303534,2023-10-20,2024-01-18,USD,15592.50,0.00,15592.50
1820701,"",202303823,2023-11-08,2023-12-23,USD,15477.00,0.00,15477.00
1577118,"",202304440,2023-12-19,2024-03-18,USD,15369.48,0.00,15369.48
1577118,"",202303929,2023-11-21,2024-02-19,USD,15369.48,0.00,15369.48
1456501,"",202304113,2023-12-04,2024-03-03,USD,15313.20,0.00,15313.20
1456501,"",202303918,2023-11-20,2024-02-18,USD,15313.20,0.00,15313.20
1738501,"",202302940,2023-08-31,2023-11-29,USD,15300.00,0.00,15300.00
1516101,"",202304317,2023-12-13,2024-01-27,USD,15225.84,0.00,15225.84
1822501,"",202303923,2023-11-20,2024-01-19,USD,15159.90,0.00,15159.90
1456501,"",202304468,2023-12-20,2024-03-19,USD,14985.60,0.00,14985.60
1456501,"",202304321,2023-12-13,2024-03-12,USD,14985.60,0.00,14985.60
1822501,"",202303676,2023-10-31,2023-12-30,USD,14968.80,0.00,14968.80
1034704,"",202304315,2023-12-13,2024-02-26,USD,14397.60,0.00,14397.60
1319905,"",202304432,2023-12-18,2024-01-02,USD,14389.20,0.00,14389.20
1456501,"",202304447,2023-12-19,2024-03-18,USD,14280.00,0.00,14280.00
1034704,"",202303517,2023-10-18,2024-01-01,USD,14167.86,0.00,14167.86
1456501,"",202303117,2023-09-18,2023-12-17,USD,14117.25,0.00,14117.25
1036711,"",202303652,2023-10-30,2023-11-29,USD,14073.15,0.00,14073.15
1036711,"",202303303,2023-10-02,2023-11-01,USD,14073.15,0.00,14073.15
1738501,"",202303994,2023-11-27,2024-02-25,USD,14017.50,0.00,14017.50
1738501,"",202303092,2023-09-15,2023-12-14,USD,14017.50,0.00,14017.50
1319905,"",202304478,2023-12-20,2024-01-04,USD,14011.20,0.00,14011.20
1319905,"",202304415,2023-12-18,2024-01-02,USD,14011.20,0.00,14011.20
1319905,"",202304267,2023-12-11,2023-12-26,USD,14011.20,0.00,14011.20
1319903,"",202304255,2023-12-11,2023-12-26,USD,14011.20,0.00,14011.20
1319903,"",202304125,2023-12-04,2023-12-19,USD,14011.20,0.00,14011.20
1577106,"",202303925,2023-11-21,2024-02-19,USD,13933.50,0.00,13933.50
1520801,"",202304041,2023-11-29,2024-02-12,USD,13830.60,0.00,13830.60
1034704,"",202304037,2023-11-29,2024-02-12,USD,13824.72,0.00,13824.72
1319905,"",202304381,2023-12-15,2023-12-30,USD,13778.10,0.00,13778.10
1577102,"",202303507,2023-10-16,2024-01-14,USD,13760.67,0.00,13760.67
1577102,"",202303297,2023-10-02,2023-12-31,USD,13760.67,0.00,13760.67
1852806,"",202303567,2023-10-23,2023-12-22,USD,13759.20,0.00,13759.20
1577102,"",202303380,2023-10-05,2024-01-03,USD,13490.40,0.00,13490.40
1275203,"",202303500,2023-10-16,2024-01-14,USD,13444.20,0.00,13444.20
1275201,"",202303038,2023-09-11,2023-12-10,USD,13444.20,0.00,13444.20
1319905,"",202304458,2023-12-19,2024-01-03,USD,13388.76,0.00,13388.76
1319905,"",202304353,2023-12-14,2023-12-29,USD,13388.76,0.00,13388.76
1456501,"",202303167,2023-09-20,2023-12-19,USD,13318.20,0.00,13318.20
1456501,"",202303128,2023-09-18,2023-12-17,USD,13318.20,0.00,13318.20
1456501,"",202303116,2023-09-18,2023-12-17,USD,13318.20,0.00,13318.20
1520804,"",202304102,2023-12-04,2024-02-02,USD,13261.50,0.00,13261.50
1520801,"",202304406,2023-12-18,2024-03-02,USD,13242.60,0.00,13242.60
1520804,"",202304249,2023-12-11,2024-02-09,USD,13242.60,0.00,13242.60
1520804,"",202304103,2023-12-04,2024-02-02,USD,13242.60,0.00,13242.60
1319905,"",202304355,2023-12-14,2023-12-29,USD,13189.05,0.00,13189.05
1034704,"",202304316,2023-12-13,2024-02-26,USD,13186.95,0.00,13186.95
1034704,"",202303961,2023-11-22,2024-02-05,USD,13186.95,0.00,13186.95
1456501,"",202304330,2023-12-14,2024-03-13,USD,13121.64,0.00,13121.64
1669601,"",202303564,2023-10-23,2024-01-21,USD,13101.90,0.00,13101.90
1669601,"",202303992,2023-11-27,2024-02-25,USD,13101.90,0.00,13101.90
1338501,"",202303636,2023-10-26,2023-12-25,USD,12936.00,0.00,12936.00
1319905,"",202304384,2023-12-15,2023-12-30,USD,12897.36,0.00,12897.36
1275204,"",202303561,2023-10-23,2024-01-21,USD,12870.90,0.00,12870.90
1738502,"",202304294,2023-12-12,2024-03-11,USD,12847.80,0.00,12847.80
1275201,"",202304217,2023-12-08,2024-03-07,USD,12847.80,0.00,12847.80
1275203,"",202303779,2023-11-06,2024-02-04,USD,12768.00,0.00,12768.00
1456501,"",202303452,2023-10-11,2024-01-09,USD,12768.00,0.00,12768.00
1275202,"",202302964,2023-09-05,2023-12-04,USD,12768.00,0.00,12768.00
1577117,"",202304410,2023-12-18,2024-03-17,USD,12694.08,0.00,12694.08
1577102,"",202303855,2023-11-13,2024-02-11,USD,12694.08,0.00,12694.08
1577102,"",202304117,2023-12-04,2024-03-03,USD,12524.40,0.00,12524.40
1577102,"",202303908,2023-11-20,2024-02-18,USD,12524.40,0.00,12524.40
1577118,"",202303859,2023-11-14,2024-02-12,USD,12524.40,0.00,12524.40
1577102,"",202303739,2023-11-03,2024-02-01,USD,12524.40,0.00,12524.40
1577106,"",202303589,2023-10-24,2024-01-22,USD,12524.40,0.00,12524.40
