cust,cust_name,inv_num,inv_date,due_date,currency,inv_amount,paid_total,balance,events
1319905,"",202304383,20231215 00:00:00.000,20231230 00:00:00.000,USD,1687.97,0.00,1687.97,1
1319905,"",202304508,20231221 00:00:00.000,20240105 00:00:00.000,USD,1687.97,0.00,1687.97,1
1034704,"",202304171,20231206 00:00:00.000,20240219 00:00:00.000,USD,1686.65,0.00,1686.65,1
1577106,"",202303237,20230926 00:00:00.000,20231225 00:00:00.000,USD,1657.00,0.00,1657.00,1
1456501,"",202304189,20231207 00:00:00.000,20240306 00:00:00.000,USD,1648.84,0.00,1648.84,1
1577102,"",202303659,20231030 00:00:00.000,20240128 00:00:00.000,USD,1638.18,0.00,1638.18,1
1975001,"",202303216,20230925 00:00:00.000,20231224 00:00:00.000,USD,1601.60,0.00,1601.60,1
1975001,"",202303694,20231101 00:00:00.000,20240130 00:00:00.000,USD,1601.60,0.00,1601.60,1
1975001,"",202304473,20231220 00:00:00.000,20240319 00:00:00.000,USD,1601.60,0.00,1601.60,1
1319903,"",202304254,20231211 00:00:00.000,20231226 00:00:00.000,USD,1573.60,0.00,1573.60,1
1275201,"",202303934,20231121 00:00:00.000,20240219 00:00:00.000,USD,1558.00,0.00,1558.00,1
1034704,"",202303611,20231025 00:00:00.000,20240108 00:00:00.000,USD,1517.99,0.00,1517.99,1
1034704,"",202303827,20231108 00:00:00.000,20240122 00:00:00.000,USD,1517.99,0.00,1517.99,1
1319905,"",202304208,20231207 00:00:00.000,20231222 00:00:00.000,USD,1482.82,0.00,1482.82,1
1319905,"",202304207,20231207 00:00:00.000,20231222 00:00:00.000,USD,1474.03,0.00,1474.03,1
1275203,"",202303291,20231002 00:00:00.000,20231231 00:00:00.000,USD,1407.60,0.00,1407.60,1
1275203,"",202303654,20231030 00:00:00.000,20240128 00:00:00.000,USD,1407.60,0.00,1407.60,1
1275203,"",202303984,20231127 00:00:00.000,20240225 00:00:00.000,USD,1407.60,0.00,1407.60,1
1275203,"",202304397,20231218 00:00:00.000,20240317 00:00:00.000,USD,1407.60,0.00,1407.60,1
1928301,"",202304512,20231222 00:00:00.000,20240220 00:00:00.000,USD,1402.45,0.00,1402.45,1
1275203,"",202304293,20231212 00:00:00.000,20240311 00:00:00.000,USD,1388.00,0.00,1388.00,1
1577106,"",202303336,20231003 00:00:00.000,20240101 00:00:00.000,USD,1387.96,0.00,1387.96,1
1129701,"",202304324,20231213 00:00:00.000,20240211 00:00:00.000,USD,1384.00,0.00,1384.00,1
1052001,"",202304408,20231218 00:00:00.000,20240117 00:00:00.000,USD,1380.00,0.00,1380.00,1
1319905,"",202304214,20231207 00:00:00.000,20231222 00:00:00.000,USD,1370.40,0.00,1370.40,1
1839204,"",202304472,20231220 00:00:00.000,20240218 00:00:00.000,USD,1354.40,0.00,1354.40,1
1283301,"",202304110,20231204 00:00:00.000,20240103 00:00:00.000,USD,1345.80,0.00,1345.80,1
1319905,"",202304336,20231214 00:00:00.000,20231229 00:00:00.000,USD,1334.40,0.00,1334.40,1
1577118,"",202303932,20231121 00:00:00.000,20240219 00:00:00.000,USD,1328.80,0.00,1328.80,1
1520801,"",202304173,20231206 00:00:00.000,20240219 00:00:00.000,USD,1317.20,0.00,1317.20,1
1319905,"",202304211,20231207 00:00:00.000,20231222 00:00:00.000,USD,1286.14,0.00,1286.14,1
1319904,"",202304226,20231208 00:00:00.000,20240107 00:00:00.000,USD,1286.14,0.00,1286.14,1
1456501,"",202303562,20231023 00:00:00.000,20240121 00:00:00.000,USD,1282.00,0.00,1282.00,1
1456501,"",202303919,20231120 00:00:00.000,20240218 00:00:00.000,USD,1282.00,0.00,1282.00,1
1719501,"",202304080,20231201 00:00:00.000,20231231 00:00:00.000,USD,1280.00,0.00,1280.00,1
1456501,"",202303168,20230920 00:00:00.000,20231219 00:00:00.000,USD,1268.40,0.00,1268.40,1
1456501,"",202304115,20231204 00:00:00.000,20240303 00:00:00.000,USD,1268.40,0.00,1268.40,1
1456501,"",202304401,20231218 00:00:00.000,20240317 00:00:00.000,USD,1268.40,0.00,1268.40,1
1577102,"",202303972,20231122 00:00:00.000,20240220 00:00:00.000,USD,1261.40,0.00,1261.40,1
1319905,"",202304196,20231207 00:00:00.000,20231222 00:00:00.000,USD,1257.20,0.00,1257.20,1
1456501,"",202303039,20230911 00:00:00.000,20231210 00:00:00.000,USD,1228.20,0.00,1228.20,1
1456501,"",202303114,20230918 00:00:00.000,20231217 00:00:00.000,USD,1228.20,0.00,1228.20,1
1456501,"",202303212,20230925 00:00:00.000,20231224 00:00:00.000,USD,1228.20,0.00,1228.20,1
1456501,"",202303294,20231002 00:00:00.000,20231231 00:00:00.000,USD,1228.20,0.00,1228.20,1
1456501,"",202303423,20231009 00:00:00.000,20240107 00:00:00.000,USD,1228.20,0.00,1228.20,1
1456501,"",202303870,20231115 00:00:00.000,20240213 00:00:00.000,USD,1228.20,0.00,1228.20,1
1456501,"",202303871,20231115 00:00:00.000,20240213 00:00:00.000,USD,1228.20,0.00,1228.20,1
1275203,"",202303290,20231002 00:00:00.000,20231231 00:00:00.000,USD,1225.80,0.00,1225.80,1
1275203,"",202303596,20231024 00:00:00.000,20240122 00:00:00.000,USD,1225.80,0.00,1225.80,1
1577106,"",202303238,20230926 00:00:00.000,20231225 00:00:00.000,USD,1219.80,0.00,1219.80,1
1577118,"",202303239,20230926 00:00:00.000,20231225 00:00:00.000,USD,1219.80,0.00,1219.80,1
1577106,"",202304290,20231212 00:00:00.000,20240311 00:00:00.000,USD,1219.80,0.00,1219.80,1
1319905,"",202304354,20231214 00:00:00.000,20231229 00:00:00.000,USD,1219.49,0.00,1219.49,1
1319905,"",202304426,20231218 00:00:00.000,20240102 00:00:00.000,USD,1219.49,0.00,1219.49,1
1577102,"",202303556,20231023 00:00:00.000,20240121 00:00:00.000,USD,1208.96,0.00,1208.96,1
1577106,"",202303235,20230926 00:00:00.000,20231225 00:00:00.000,USD,1192.80,0.00,1192.80,1
1577106,"",202303924,20231121 00:00:00.000,20240219 00:00:00.000,USD,1192.80,0.00,1192.80,1
1577118,"",202303930,20231121 00:00:00.000,20240219 00:00:00.000,USD,1192.80,0.00,1192.80,1
1577106,"",202304287,20231212 00:00:00.000,20240311 00:00:00.000,USD,1192.80,0.00,1192.80,1
1034704,"",202304038,20231129 00:00:00.000,20240212 00:00:00.000,USD,1180.66,0.00,1180.66,1
1577102,"",202303299,20231002 00:00:00.000,20231231 00:00:00.000,USD,1162.40,0.00,1162.40,1
1577102,"",202303742,20231103 00:00:00.000,20240201 00:00:00.000,USD,1162.40,0.00,1162.40,1
1577102,"",202303912,20231120 00:00:00.000,20240218 00:00:00.000,USD,1162.40,0.00,1162.40,1
1577102,"",202304122,20231204 00:00:00.000,20240303 00:00:00.000,USD,1162.40,0.00,1162.40,1
1820701,"",202303772,20231106 00:00:00.000,20231221 00:00:00.000,USD,1150.00,0.00,1150.00,1
1820701,"",202304411,20231218 00:00:00.000,20240201 00:00:00.000,USD,1150.00,0.00,1150.00,1
1275203,"",202303467,20231013 00:00:00.000,20240111 00:00:00.000,USD,1139.50,0.00,1139.50,1
1456501,"",202303858,20231113 00:00:00.000,20240211 00:00:00.000,USD,1134.40,0.00,1134.40,1
1456501,"",202304112,20231204 00:00:00.000,20240303 00:00:00.000,USD,1134.40,0.00,1134.40,1
1577102,"",202303820,20231108 00:00:00.000,20240206 00:00:00.000,USD,1128.00,0.00,1128.00,1
1319905,"",202304462,20231219 00:00:00.000,20240103 00:00:00.000,USD,1126.80,0.00,1126.80,1
1456501,"",202304322,20231213 00:00:00.000,20240312 00:00:00.000,USD,1122.00,0.00,1122.00,1
1520801,"",202304405,20231218 00:00:00.000,20240302 00:00:00.000,USD,1108.16,0.00,1108.16,1
1001401,"",202304467,20231220 00:00:00.000,20240119 00:00:00.000,USD,1102.72,0.00,1102.72,1
1456501,"",202304188,20231207 00:00:00.000,20240306 00:00:00.000,USD,1099.22,0.00,1099.22,1
1034704,"",202304390,20231218 00:00:00.000,20240302 00:00:00.000,USD,1097.60,0.00,1097.60,1
1520801,"",202304172,20231206 00:00:00.000,20240219 00:00:00.000,USD,1085.20,0.00,1085.20,1
1577102,"",202303738,20231103 00:00:00.000,20240201 00:00:00.000,USD,1057.50,0.00,1057.50,1
1275203,"",202303821,20231108 00:00:00.000,20240206 00:00:00.000,USD,1057.50,0.00,1057.50,1
1577102,"",202303421,20231009 00:00:00.000,20240107 00:00:00.000,USD,1016.00,0.00,1016.00,1
1740001,"",202304471,20231220 00:00:00.000,20240218 00:00:00.000,USD,1014.90,0.00,1014.90,1
1577125,"",202303869,20231115 00:00:00.000,20240213 00:00:00.000,USD,997.20,0.00,997.20,1
1577106,"",202303681,20231031 00:00:00.000,20240129 00:00:00.000,USD,991.40,0.00,991.40,1
1822501,"",202304497,20231221 00:00:00.000,20240219 00:00:00.000,USD,981.00,0.00,981.00,1
1319905,"",202304345,20231214 00:00:00.000,20231229 00:00:00.000,USD,979.55,0.00,979.55,1
1577106,"",202303682,20231031 00:00:00.000,20240129 00:00:00.000,USD,975.84,0.00,975.84,1
1577102,"",202304286,20231212 00:00:00.000,20240311 00:00:00.000,USD,969.10,0.00,969.10,1
1319905,"",202304198,20231207 00:00:00.000,20231222 00:00:00.000,USD,966.40,0.00,966.40,1
1577102,"",202303910,20231120 00:00:00.000,20240218 00:00:00.000,USD,962.53,0.00,962.53,1
1577102,"",202303986,20231127 00:00:00.000,20240225 00:00:00.000,USD,952.25,0.00,952.25,1
1577102,"",202304259,20231211 00:00:00.000,20240310 00:00:00.000,USD,952.25,0.00,952.25,1
1549801,"",202302991,20230901 00:00:00.000,20231031 00:00:00.000,USD,1650.04,700.04,950.00,1
1456501,"",202303504,20231016 00:00:00.000,20240114 00:00:00.000,USD,921.15,0.00,921.15,1
1456501,"",202303292,20231002 00:00:00.000,20231231 00:00:00.000,USD,916.80,0.00,916.80,1
